iter	Passed	Remaining
0	1	99
1	1	93
2	2	86
3	3	82
4	4	79
5	4	76
6	5	76
7	6	75
8	7	74
9	8	74
10	9	72
11	9	72
12	10	71
13	11	71
14	12	70
15	13	70
16	14	70
17	15	69
18	16	69
19	17	68
20	17	67
21	18	66
22	19	65
23	20	65
24	21	64
25	22	63
26	23	63
27	24	62
28	25	61
29	26	61
30	27	60
31	28	59
32	29	59
33	30	58
34	31	57
35	32	57
36	33	56
37	34	55
38	35	55
39	36	54
40	37	53
41	38	53
42	39	52
43	40	51
44	40	50
45	41	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	45
51	48	44
52	49	43
53	50	42
54	51	42
55	52	41
56	53	40
57	55	39
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	62	34
64	63	34
65	64	33
66	65	32
67	67	31
68	68	30
69	69	29
70	71	29
71	72	28
72	74	27
73	75	26
74	76	25
75	78	24
76	79	23
77	81	22
78	82	21
79	84	21
80	85	20
81	86	19
82	88	18
83	89	17
84	90	16
85	92	15
86	93	14
87	95	12
88	96	11
89	97	10
90	99	9
91	100	8
92	101	7
93	103	6
94	104	5
95	106	4
96	107	3
97	108	2
98	110	1
99	111	0
