iter	Passed	Remaining
0	193	192941
1	194	97180
2	196	65160
3	197	49207
4	199	39616
5	200	33210
6	202	28663
7	203	25234
8	205	22574
9	206	20479
10	208	18727
11	209	17261
12	211	16046
13	212	14995
14	214	14078
15	215	13283
16	217	12589
17	219	11959
18	220	11388
19	222	10880
20	223	10426
21	225	10014
22	226	9625
23	228	9277
24	229	8959
25	231	8657
26	232	8385
27	234	8129
28	235	7886
29	237	7663
30	238	7454
31	239	7253
32	241	7069
33	242	6899
34	244	6736
35	245	6586
36	247	6447
37	249	6308
38	250	6175
39	252	6050
40	253	5930
41	255	5817
42	256	5709
43	257	5601
44	259	5501
45	260	5404
46	262	5314
47	263	5234
48	265	5149
49	266	5069
50	268	4993
51	269	4915
52	270	4839
53	272	4771
54	274	4708
55	275	4650
56	277	4590
57	278	4527
58	280	4468
59	281	4408
60	282	4352
61	283	4295
62	285	4243
63	286	4192
64	287	4141
65	289	4092
66	290	4047
67	292	4009
68	293	3966
69	295	3923
70	296	3880
71	297	3837
72	298	3794
73	299	3753
74	301	3714
75	302	3676
76	303	3640
77	304	3604
78	306	3571
79	307	3541
80	309	3507
81	310	3474
82	310	3435
83	312	3403
84	313	3373
85	314	3342
86	315	3311
87	317	3286
88	318	3262
89	319	3235
90	321	3213
91	323	3189
92	324	3164
93	325	3138
94	326	3114
95	328	3089
96	329	3065
97	330	3041
98	331	3020
99	333	2997
100	334	2975
101	335	2952
102	337	2936
103	338	2915
104	339	2894
105	340	2874
106	341	2853
107	343	2833
108	344	2814
109	345	2795
110	346	2776
111	347	2757
112	349	2739
113	350	2722
114	352	2710
115	353	2694
116	354	2676
117	355	2659
118	357	2643
119	358	2627
120	359	2611
121	360	2593
122	361	2577
123	362	2561
124	363	2546
125	364	2531
126	365	2514
127	367	2503
128	368	2489
129	369	2475
130	371	2461
131	372	2448
132	373	2435
133	374	2422
134	376	2410
135	377	2398
136	378	2386
137	379	2373
138	381	2365
139	383	2356
140	385	2346
141	386	2332
142	387	2322
143	388	2311
144	390	2300
145	391	2290
146	392	2278
147	394	2268
148	395	2258
149	397	2251
150	398	2241
151	399	2230
152	401	2220
153	402	2209
154	403	2199
155	404	2189
156	405	2179
157	407	2169
158	408	2159
159	409	2150
160	410	2138
161	411	2129
162	413	2121
163	415	2115
164	416	2107
165	417	2098
166	418	2089
167	420	2080
168	421	2071
169	422	2063
170	423	2054
171	424	2045
172	426	2037
173	427	2030
174	428	2021
175	429	2012
176	430	2003
177	431	1994
178	432	1985
179	433	1976
180	435	1968
181	436	1960
182	437	1951
183	438	1942
184	439	1935
185	440	1927
186	441	1919
187	443	1914
188	444	1907
189	445	1900
190	446	1893
191	448	1885
192	449	1878
193	450	1871
194	451	1864
195	452	1857
196	453	1849
197	454	1842
198	455	1834
199	457	1828
200	458	1823
201	459	1816
202	460	1809
203	462	1803
204	463	1796
205	464	1789
206	465	1782
207	466	1775
208	467	1769
209	468	1762
210	469	1755
211	470	1749
212	471	1742
213	473	1739
214	474	1732
215	475	1726
216	476	1719
217	477	1713
218	478	1706
219	479	1700
220	480	1694
221	481	1688
222	482	1682
223	484	1676
224	485	1670
225	486	1664
226	487	1659
227	488	1654
228	489	1649
229	490	1643
230	491	1637
231	493	1632
232	494	1626
233	495	1621
234	496	1615
235	497	1610
236	498	1604
237	499	1599
238	500	1593
239	501	1588
240	503	1586
241	504	1581
242	505	1576
243	507	1571
244	508	1566
245	509	1561
246	510	1556
247	511	1551
248	512	1546
249	513	1541
250	515	1537
251	516	1532
252	517	1528
253	519	1525
254	520	1520
255	521	1515
256	522	1511
257	524	1507
258	525	1502
259	526	1498
260	527	1494
261	528	1489
262	529	1484
263	531	1480
264	532	1475
265	533	1472
266	534	1468
267	535	1463
268	536	1458
269	537	1453
270	538	1449
271	539	1444
272	540	1439
273	541	1435
274	542	1430
275	543	1426
276	544	1422
277	545	1417
278	547	1413
279	548	1410
280	549	1407
281	551	1403
282	552	1399
283	553	1395
284	554	1391
285	555	1386
286	556	1382
287	557	1378
288	558	1374
289	559	1370
290	560	1366
291	561	1362
292	563	1359
293	564	1355
294	565	1351
295	566	1347
296	567	1343
297	568	1339
298	569	1335
299	570	1331
300	571	1327
301	573	1324
302	574	1320
303	575	1317
304	576	1313
305	577	1309
306	579	1307
307	580	1303
308	581	1299
309	582	1295
310	583	1292
311	584	1288
312	585	1284
313	586	1281
314	587	1277
315	588	1274
316	589	1270
317	590	1267
318	591	1263
319	593	1260
320	594	1257
321	595	1254
322	596	1250
323	598	1247
324	599	1245
325	600	1242
326	602	1239
327	603	1236
328	605	1234
329	606	1231
330	608	1229
331	610	1228
332	612	1226
333	613	1224
334	615	1221
335	616	1219
336	618	1216
337	619	1212
338	620	1210
339	621	1207
340	623	1204
341	624	1202
342	626	1199
343	627	1196
344	628	1193
345	630	1190
346	631	1188
347	632	1184
348	633	1181
349	634	1178
350	635	1175
351	637	1172
352	638	1170
353	640	1168
354	641	1166
355	644	1165
356	645	1162
357	646	1160
358	648	1157
359	649	1154
360	650	1151
361	651	1148
362	652	1145
363	654	1144
364	655	1141
365	657	1138
366	658	1135
367	659	1133
368	660	1130
369	662	1127
370	663	1124
371	664	1121
372	666	1120
373	667	1117
374	669	1115
375	670	1113
376	671	1110
377	673	1107
378	674	1104
379	675	1101
380	676	1098
381	677	1095
382	678	1092
383	679	1089
384	680	1086
385	681	1083
386	682	1080
387	684	1079
388	685	1077
389	687	1074
390	688	1071
391	689	1069
392	690	1066
393	691	1063
394	692	1060
395	693	1058
396	694	1055
397	695	1052
398	696	1049
399	697	1046
400	700	1046
401	701	1043
402	703	1041
403	704	1038
404	705	1036
405	706	1033
406	707	1030
407	708	1027
408	709	1025
409	710	1022
410	711	1019
411	712	1016
412	713	1013
413	715	1012
414	716	1010
415	717	1007
416	718	1005
417	720	1002
418	721	1000
419	722	997
420	723	994
421	724	992
422	725	989
423	726	986
424	727	984
425	729	982
426	730	980
427	732	978
428	733	975
429	734	973
430	735	970
431	736	967
432	737	965
433	738	962
434	739	959
435	740	957
436	741	954
437	742	952
438	743	950
439	746	949
440	747	947
441	748	944
442	749	942
443	750	940
444	751	937
445	752	935
446	753	932
447	754	930
448	756	928
449	757	925
450	758	923
451	760	921
452	761	919
453	762	916
454	763	914
455	764	912
456	765	909
457	766	907
458	767	904
459	768	902
460	769	899
461	770	897
462	771	895
463	772	892
464	773	890
465	775	888
466	776	886
467	777	883
468	778	881
469	779	879
470	780	877
471	782	874
472	783	872
473	784	870
474	785	868
475	786	865
476	787	863
477	788	860
478	789	859
479	791	857
480	792	854
481	793	852
482	794	850
483	795	847
484	796	845
485	797	843
486	798	841
487	799	838
488	800	836
489	801	834
490	802	831
491	803	829
492	805	827
493	806	825
494	807	823
495	808	821
496	809	818
497	810	816
498	811	814
499	812	812
500	813	810
501	814	807
502	815	805
503	816	803
504	817	801
505	818	799
506	820	797
507	821	795
508	822	793
509	823	790
510	824	788
511	825	786
512	826	784
513	827	782
514	828	780
515	829	778
516	830	776
517	832	774
518	833	772
519	834	770
520	835	768
521	837	766
522	838	764
523	839	762
524	840	760
525	841	758
526	842	756
527	844	754
528	845	752
529	846	750
530	847	748
531	848	746
532	849	743
533	850	742
534	851	740
535	852	738
536	853	736
537	855	734
538	856	732
539	857	730
540	858	728
541	859	726
542	860	724
543	861	722
544	862	720
545	863	717
546	864	716
547	866	714
548	867	712
549	869	711
550	870	709
551	872	708
552	873	706
553	874	704
554	876	702
555	877	700
556	878	698
557	879	696
558	880	694
559	881	692
560	883	691
561	884	689
562	885	687
563	886	685
564	887	683
565	888	681
566	889	679
567	890	677
568	891	675
569	892	673
570	893	671
571	894	669
572	896	668
573	897	666
574	898	664
575	900	662
576	901	660
577	902	658
578	903	656
579	904	654
580	905	652
581	906	651
582	907	649
583	908	647
584	909	645
585	910	643
586	912	641
587	913	640
588	914	638
589	915	636
590	917	634
591	918	632
592	919	630
593	920	629
594	921	627
595	922	625
596	923	623
597	924	621
598	927	620
599	928	619
600	929	617
601	930	615
602	931	613
603	932	611
604	934	609
605	935	607
606	936	606
607	937	604
608	938	602
609	939	600
610	940	598
611	941	597
612	943	595
613	944	593
614	945	591
615	946	589
616	947	588
617	948	586
618	949	584
619	950	582
620	951	580
621	953	579
622	954	577
623	955	575
624	956	573
625	957	572
626	959	570
627	959	568
628	960	566
629	962	565
630	963	563
631	964	561
632	964	559
633	965	557
634	967	555
635	968	554
636	969	552
637	970	550
638	971	548
639	972	547
640	974	545
641	975	543
642	976	542
643	977	540
644	978	538
645	979	536
646	980	535
647	981	533
648	982	531
649	983	529
650	984	528
651	985	526
652	987	524
653	988	523
654	989	521
655	990	519
656	991	517
657	992	515
658	993	514
659	994	512
660	995	510
661	996	508
662	998	507
663	999	505
664	1000	503
665	1001	502
666	1003	500
667	1004	499
668	1005	497
669	1006	495
670	1007	493
671	1008	492
672	1009	490
673	1010	488
674	1011	487
675	1012	485
676	1013	483
677	1014	481
678	1015	480
679	1017	478
680	1018	477
681	1019	475
682	1020	473
683	1021	472
684	1022	470
685	1023	468
686	1024	466
687	1025	465
688	1026	463
689	1028	461
690	1029	460
691	1030	458
692	1031	456
693	1032	455
694	1034	453
695	1035	452
696	1036	450
697	1037	448
698	1038	447
699	1039	445
700	1040	443
701	1041	442
702	1042	440
703	1043	438
704	1044	437
705	1045	435
706	1046	433
707	1048	432
708	1049	430
709	1050	429
710	1051	427
711	1052	425
712	1053	424
713	1054	422
714	1055	420
715	1056	419
716	1058	417
717	1059	416
718	1060	414
719	1061	412
720	1062	411
721	1064	409
722	1065	408
723	1066	406
724	1067	404
725	1068	403
726	1069	401
727	1070	400
728	1071	398
729	1072	396
730	1073	395
731	1074	393
732	1075	391
733	1076	390
734	1078	388
735	1079	387
736	1081	385
737	1082	384
738	1083	382
739	1084	380
740	1085	379
741	1086	377
742	1087	376
743	1088	374
744	1089	372
745	1090	371
746	1091	369
747	1092	368
748	1094	366
749	1095	365
750	1096	363
751	1097	361
752	1098	360
753	1099	358
754	1100	357
755	1101	355
756	1102	353
757	1103	352
758	1104	350
759	1106	349
760	1107	347
761	1108	346
762	1110	344
763	1111	343
764	1112	341
765	1113	340
766	1114	338
767	1115	336
768	1116	335
769	1117	333
770	1118	332
771	1119	330
772	1120	328
773	1121	327
774	1122	325
775	1123	324
776	1125	322
777	1126	321
778	1127	319
779	1128	318
780	1129	316
781	1130	315
782	1131	313
783	1132	312
784	1133	310
785	1134	308
786	1135	307
787	1136	305
788	1138	304
789	1139	303
790	1141	301
791	1142	299
792	1143	298
793	1144	296
794	1145	295
795	1146	293
796	1147	292
797	1148	290
798	1149	289
799	1150	287
800	1151	286
801	1152	284
802	1153	283
803	1155	281
804	1156	280
805	1157	278
806	1158	277
807	1159	275
808	1160	274
809	1161	272
810	1162	271
811	1163	269
812	1164	267
813	1166	266
814	1167	264
815	1168	263
816	1170	262
817	1171	260
818	1172	259
819	1174	257
820	1175	256
821	1176	254
822	1177	253
823	1178	251
824	1179	250
825	1180	248
826	1181	247
827	1182	245
828	1184	244
829	1185	242
830	1186	241
831	1187	239
832	1188	238
833	1189	236
834	1191	235
835	1192	233
836	1193	232
837	1194	230
838	1195	229
839	1196	227
840	1197	226
841	1198	224
842	1200	223
843	1201	222
844	1202	220
845	1203	219
846	1204	217
847	1205	216
848	1206	214
849	1207	213
850	1208	211
851	1209	210
852	1210	208
853	1211	207
854	1212	205
855	1213	204
856	1215	202
857	1216	201
858	1217	199
859	1218	198
860	1219	196
861	1220	195
862	1221	193
863	1222	192
864	1224	191
865	1225	189
866	1226	188
867	1227	186
868	1228	185
869	1229	183
870	1231	182
871	1232	180
872	1233	179
873	1234	177
874	1235	176
875	1236	175
876	1237	173
877	1239	172
878	1240	170
879	1241	169
880	1242	167
881	1243	166
882	1245	164
883	1246	163
884	1247	162
885	1248	160
886	1249	159
887	1250	157
888	1251	156
889	1252	154
890	1253	153
891	1254	151
892	1256	150
893	1257	149
894	1258	147
895	1259	146
896	1260	144
897	1261	143
898	1262	141
899	1263	140
900	1264	138
901	1266	137
902	1267	136
903	1268	134
904	1269	133
905	1270	131
906	1271	130
907	1272	128
908	1273	127
909	1274	126
910	1276	124
911	1277	123
912	1278	121
913	1279	120
914	1280	118
915	1281	117
916	1282	116
917	1283	114
918	1284	113
919	1285	111
920	1286	110
921	1287	108
922	1288	107
923	1289	106
924	1291	104
925	1292	103
926	1293	101
927	1294	100
928	1295	99
929	1296	97
930	1297	96
931	1298	94
932	1299	93
933	1300	91
934	1301	90
935	1302	89
936	1303	87
937	1304	86
938	1306	84
939	1307	83
940	1309	82
941	1309	80
942	1310	79
943	1312	77
944	1313	76
945	1313	75
946	1314	73
947	1315	72
948	1316	70
949	1317	69
950	1319	67
951	1320	66
952	1321	65
953	1322	63
954	1324	62
955	1325	60
956	1326	59
957	1327	58
958	1328	56
959	1329	55
960	1330	54
961	1331	52
962	1332	51
963	1333	49
964	1334	48
965	1336	47
966	1337	45
967	1338	44
968	1339	42
969	1340	41
970	1341	40
971	1343	38
972	1344	37
973	1345	35
974	1346	34
975	1347	33
976	1348	31
977	1349	30
978	1350	28
979	1352	27
980	1353	26
981	1354	24
982	1355	23
983	1356	22
984	1357	20
985	1358	19
986	1359	17
987	1360	16
988	1361	15
989	1362	13
990	1363	12
991	1365	11
992	1366	9
993	1367	8
994	1368	6
995	1369	5
996	1370	4
997	1371	2
998	1372	1
999	1373	0
